"rank_abs_delta","parid","county","acres_2020","acres_2026","n_tcc_pixels","mean_tcc_2020","mean_tcc_2025","delta_pp","abs_delta_pp","owner_type_2020","owner_type_2026","owner_type_changed","still_in_cfp_2026"
118,"10265","Houghton",120,120,536,61.2705223880597,80.9384328358209,19.6679104477612,19.6679104477612,"Forest Industry","Forest Industry",FALSE,TRUE
119,"4216","Keweenaw",160,160,720,51.2972222222222,70.6791666666667,19.3819444444444,19.3819444444444,"Forest Industry","Other Business",TRUE,TRUE
120,"30818","Houghton",80,80,372,64.489247311828,83.8494623655914,19.3602150537634,19.3602150537634,"Private Individual(s)","Trust",TRUE,TRUE
121,"10164","Houghton",315.61,315.61,1426,72.1311360448808,52.9943899018233,-19.1367461430575,19.1367461430575,"Forest Industry","Forest Industry",FALSE,TRUE
122,"3661","Keweenaw",154.4,154.4,699,79.8397711015737,60.9241773962804,-18.9155937052933,18.9155937052933,"Forest Industry","Forest Industry",FALSE,TRUE
123,"16907","Keweenaw",40,40,182,71.5164835164835,52.6208791208791,-18.8956043956044,18.8956043956044,"Other Business","Forest Industry",TRUE,TRUE
124,"4903","Houghton",643.82,643.82,2878,74.7852675469076,55.9030576789437,-18.8822098679639,18.8822098679639,"Forest Industry","Forest Industry",FALSE,TRUE
125,"811","Keweenaw",160,160,717,79.5076708507671,60.6750348675035,-18.8326359832636,18.8326359832636,"Forest Industry","Forest Industry",FALSE,TRUE
126,"19727","Keweenaw",20,20,89,74.7977528089888,56.1123595505618,-18.685393258427,18.685393258427,"Forest Industry","Forest Industry",FALSE,TRUE
127,"17105","Houghton",116.3,116.3,536,60.4458955223881,79.0746268656716,18.6287313432836,18.6287313432836,"Other Business","Other Business",FALSE,TRUE
128,"22766","Houghton",320,320,1467,80.9441036128153,62.3415132924335,-18.6025903203817,18.6025903203817,"Other Business","Forest Industry",TRUE,TRUE
129,"16260","Keweenaw",82.96,82.96,383,63.023498694517,81.5953002610966,18.5718015665796,18.5718015665796,"Forest Industry","Forest Industry",FALSE,TRUE
130,"11988","Keweenaw",360,360,1607,53.4019912881145,71.7056627255756,18.3036714374611,18.3036714374611,"Forest Industry","Other Business",TRUE,TRUE
131,"5171","Keweenaw",160,160,709,75.1452750352609,56.9125528913963,-18.2327221438646,18.2327221438646,"Forest Industry","Forest Industry",FALSE,TRUE
132,"16994","Houghton",560.72,560.72,2535,81.3940828402367,63.1818540433925,-18.2122287968442,18.2122287968442,"Other Business","Forest Industry",TRUE,TRUE
133,"10426","Houghton",240,240,1055,58.7336492890995,76.9374407582938,18.2037914691943,18.2037914691943,"Forest Industry","Forest Industry",FALSE,TRUE
134,"22067","Houghton",640,640,2965,76.9325463743676,58.8880269814503,-18.0445193929174,18.0445193929174,"Forest Industry","Forest Industry",FALSE,TRUE
135,"5073","Houghton",40,40,189,60.6878306878307,78.6825396825397,17.994708994709,17.994708994709,"Forest Industry","Forest Industry",FALSE,TRUE
136,"35552","Keweenaw",120,120,535,53.8280373831776,71.7308411214953,17.9028037383178,17.9028037383178,"Forest Industry","Other Business",TRUE,TRUE
137,"10272","Houghton",640,640,2905,71.2578313253012,53.3865748709122,-17.871256454389,17.871256454389,"Forest Industry","Forest Industry",FALSE,TRUE
138,"810","Keweenaw",320,320,1434,74.0153417015342,56.1457461645746,-17.8695955369596,17.8695955369596,"Forest Industry","Forest Industry",FALSE,TRUE
139,"17625","Houghton",40,40,179,61.3240223463687,79.1564245810056,17.8324022346369,17.8324022346369,"Forest Industry","Other",TRUE,TRUE
140,"30474","Houghton",28.7,28.7,161,52.6521739130435,70.2919254658385,17.639751552795,17.639751552795,"Forest Industry","Forest Industry",FALSE,TRUE
141,"10342","Houghton",440,440,1993,82.452082288008,64.881585549423,-17.570496738585,17.570496738585,"Forest Industry","Forest Industry",FALSE,TRUE
142,"5168","Keweenaw",80,80,349,82.8825214899714,65.3409742120344,-17.541547277937,17.541547277937,"Forest Industry","Forest Industry",FALSE,TRUE
143,"5185","Keweenaw",160,160,709,76.672778561354,59.2186177715092,-17.4541607898449,17.4541607898449,"Forest Industry","Forest Industry",FALSE,TRUE
144,"11919","Keweenaw",474.7,474.7,2163,75.4373555247342,58.0892279241794,-17.3481276005548,17.3481276005548,"Forest Industry","Forest Industry",FALSE,TRUE
145,"32898","Keweenaw",40,NA,173,46.4913294797688,63.7687861271676,17.2774566473988,17.2774566473988,"Private Individual(s)","non-CFP in 2026",FALSE,FALSE
146,"11997","Keweenaw",600,600,2665,62.881425891182,80.0960600375235,17.2146341463415,17.2146341463415,"Forest Industry","Other Business",TRUE,TRUE
147,"10277","Houghton",160,160,737,56.7788331071913,39.6540027137042,-17.1248303934871,17.1248303934871,"Forest Industry","Forest Industry",FALSE,TRUE
148,"823","Keweenaw",600,600,2679,53.6786114221725,70.7801418439716,17.1015304217992,17.1015304217992,"Forest Industry","Forest Industry",FALSE,TRUE
149,"10326","Houghton",479.32,479.32,2056,80.7568093385214,63.8083657587549,-16.9484435797665,16.9484435797665,"Forest Industry","Forest Industry",FALSE,TRUE
150,"19799","Keweenaw",640,640,2751,81.1250454380225,64.2239185750636,-16.9011268629589,16.9011268629589,"Forest Industry","Forest Industry",FALSE,TRUE
